MSE-DPG,MAPE-DPG
2.0924094822561723,2.288909227842246
2.131395584488384,2.3655226472281274
2.121421711233512,2.3748659222054576
2.0590197949731586,1.8132372264878165
2.041048156463553,2.955930777570448
2.1368226773578702,2.750765258305192
2.0694357264725585,2.788657130326216
2.0676730812735498,1.705974657644882
2.0671430621082942,2.100935624128436
2.1335971486834233,3.1214208187208596
2.0655931683411852,2.541726684020021
2.1127512734938807,1.4660846044854892
2.09449433674867,2.369760510015442
2.08489808869496,3.901168501761819
2.0577474407305956,1.8110866965473174
2.0782446706500437,1.8391857899919228
2.0647030041249788,3.0180182961205966
2.0710097611333493,2.7779114102903395
2.117301776595988,1.8427448955500292
2.0647542822569904,3.0431003905739793
2.125562121029654,3.095402751536958
2.0927028377333423,1.5915166862465968
2.06330981377303,2.8110649629582314
2.1358292679519537,1.5164650460291436
2.0349868053575744,1.6631628994442473
2.1435039344951288,1.9990519102521727
2.080528965926725,1.6615493543989994
2.0776695250514785,1.981095159121661
2.1102766186546247,2.1611072751950724
2.1112454040371413,1.8710385531458782
2.1037819801941273,2.07135167886519
2.0881942100463395,2.2733797966321907
2.0998048553674113,3.340728944122348
2.0637740427383116,2.195640313408899
2.102085403511115,2.472591733464757
2.161272810738133,1.8709986842991804
2.1189331783841783,2.6901133489303444
2.1023103084219876,2.5370721407421395
2.099783396599055,1.6857397379229693
2.0539397941029893,1.958805343083446
2.1064521114067567,2.0821894421829574
2.183238596743299,1.8962540377674264
2.076480972315245,1.7396126739391589
2.103228026664354,2.883664007550259
2.0544047703870136,2.029374067120191
2.056008973097913,2.4583495229952246
2.079698972791577,1.5650670687710482
2.079921860074243,2.343492177422801
2.0601653535039994,2.2855508573466397
2.061600976598223,2.9756424011154365
