MSE-DEM,MAPE-DEM
17.890928361512007,2.890627921483076
17.739239113241307,3.1245073688461993
19.9402760092901,3.5335382888232223
17.74131686308742,3.1785763824684454
17.865398156448205,3.3211956908703026
18.271548676208468,3.65472207779368
17.41419011202036,3.5143848366112334
17.492003460303778,3.090124867066488
18.29686587556214,3.470168780480276
18.068546297059193,5.086537210460369
19.54504242323627,3.1979292109041504
19.29042212104995,2.732738311566007
19.607263060172688,3.728425575360523
18.183695854514326,4.03109270386956
18.39012963374021,3.78120013746283
17.60138238076784,3.221522957046819
18.051856689759667,4.205359043845753
17.35409874358192,3.513481693802503
17.314841963960003,2.9781793496173177
18.07100828382532,4.943985417776163
18.675086617067947,3.326316763439675
17.023963645602578,2.974278125939398
20.0439659727022,4.691063633348695
17.631382760626007,2.616058862064301
17.975344960696493,2.8215754479001443
17.35224775676927,3.8564037421823345
17.855939008644352,3.2455761103390874
18.48387573038172,2.9693341922951006
17.6084618661359,3.127909866721322
18.05459476376592,3.311186748386988
16.45492291215352,3.3120069844138347
17.29408830613212,3.9889644639180517
18.462850553509178,3.519255954917367
17.546713350919692,3.904383373046332
17.92402645345711,4.359983049995649
18.227496619725184,3.6195573521329103
18.347223503947767,4.454765525954258
18.540519649334676,3.6138266840441493
21.20455801928277,2.9787130204841397
17.438662527720368,3.170497400812287
18.7376501349691,3.129522135286338
17.879614749576007,3.2761886503617332
18.07706836203417,3.1213058236224676
17.741858891410388,3.4097136348780466
18.475491103172555,3.177592938975809
19.483451512325843,3.746974336397497
18.22496126845308,3.1961773960423816
19.053153130020654,3.693141451606552
17.030187302648258,3.68503986623233
19.111125698710886,2.983180449514761
